slot,front_sig,front_signer_site,front_sell_amount_site,front_buy_amount_site,back_sig,back_signer_site,back_sell_amount_site,back_buy_amount_site,front_signer_db,front_sell_amount_db,front_buy_amount_db,back_signer_db,back_sell_amount_db,back_buy_amount_db,status,same_signer,profit,relative_amount_diff,,,,,
377301161,5PrseK1168sFYGqFMmYrxQnMZjcmpuY19y6dXSBPBNu1r1bRna8rzJNiQYRtj4gDybYb3T9Uwf6W4rU5r7qFVZKt,AMi73V,5265.121,2.483,4cnrBEotGdGzCvLWSyrd7M6NPXT5Qok9NhbdrSCvuMKTTqaUqvE8MGpNWcBJs8HEvZ2DixQ6EffygcsUAZgom6HG,AMi73V,2.334,5406.749,nan,0,0,nan,0,0,site_only,TRUE,141.628,0.060008055,,,,,
377301501,44SrSVQVHaJztBDJzhCLDLNRqRtk6q6E4m1ynZEvuJ7rddqpTxoGCZ322jHktFETYbvwjTZqXcSAS9K58fTHDUU4,4E3PhL,5394.375,1.531,3jRpsSgciModw3qBfAgzSSU9BqtFFEsZbLDieQjxBUMW4ZHZuSBszQA6QXnGWfFk3kRtJUy9yQku7zr8ta8b95cA,4E3PhL,1.44,5450.066,nan,0,0,nan,0,0,site_only,TRUE,55.691,0.059438276,,,,,
377303217,XeTpPNUhE12CswZpXXrP9FR4EKCLsZxZVD3h8iKePSyYJidADY7zwcfAqFvtu3dcyWNTw5hu4uFHADfTRL1C1GH,BYiEbo,24310.001,0.000301,3DDYN96gnq15C5CTXbTQiR9Qcc9evd2xeMdvbpZCVHk1CBJUvNwAPaAVaXoc9RD6H4Pju5YL9D8fzsYRpMCFC7F7,BYiEbo,9.90E-05,1227202.1,nan,0,0,nan,0,0,site_only,TRUE,1202892.099,0.671096346,,,,,
377303294,314Pwgvvvh9iYmpEBvovR1fo51pmpjfhHyUjFyiTMidQGroKDg8zqYfTKL1sJWhHnjH5Ugmb17NAg6HrUxAY2Vr5,BYiEbo,9.90E-05,536354.36,2DZg56TnJMe1R7HChsk7M5xrpD1d13JkbhJ8dNtnDnWHWogbQzgdS9aLQ5gcP1WYQpC8G9kTgA9JjFm3G6M8vcrE,BYiEbo,60293.603,0.000364,nan,0,0,nan,0,0,site_only,TRUE,0.000265,0.887586254,,,,,
377303608,55o3i7Qrp9NMefpdkabDWbjepNQ6ARpkmzBeY5r73ExVF3o38ejoYcdr6xvw7rAp4tCryBeH3xgsfYaHe3UDDGws,wsBmEA,90697.434,1.327,4Lk1KGvA8yL6Qx9mUMaez5afxXattjWXyUojUDfaSu2wUmwDH1R5Tj33745XyyeEjGwMeTptdjnkpmJuEBSRVvmZ,wsBmEA,1.175,10111330,nan,0,0,nan,0,0,site_only,TRUE,10020632.57,0.114544084,,,,,
377306433,T1rsNa8uX8tfcoH2HnTYKp6EfQeqAy95CphiCDhQF5j6seawKz9zqb2nrM5MEziiTkqhaxeSFT9BKQ98Qfvg3Uu,BYiEbo,968210.9,0.000193,MgxmkMUZcwjZ72u4SjJmLZP17xdBYU7Wm1ZcNo2pjN9yNVAkcCzK1A3BeMP7Msi4tifZ1cGJ4KdHqAgpWSZ63tG,BYiEbo,9.90E-05,16927745,nan,0,0,nan,0,0,site_only,TRUE,15959534.1,0.487046632,,,,,
377308659,598BShXwYXVDnBGnqv3ZgGRqtqCoj33cou31cLvQUmabdDqkgZ6oyH9R188AMVk9auroVmnr2uLsjaqXJeSAq7bD,BYiEbo,9.90E-05,76454.647,F5aPe9RdT4nxf51KfNHJa4d6Ra6mwDKcBLUmD91hRTj6WntrrTCKx9JKQAaKkbtcqvyXgu29YAvwBtByq7ZPEEF,BYiEbo,10995.177,0.000413,nan,0,0,nan,0,0,site_only,TRUE,0.000314,0.856186937,,,,,
377308689,Cau61ia2nde5Xh9vGuTUCCM4o3rc3PyhHNaF1nBEX4wJGeKodxU5nEWigNX1Ad6WKQBkk2Lrc2uymJT5nSJ5bS2,BYiEbo,9.90E-05,1971352.1,swvgAmPCu21vkesDVeEpLzkkJq77Gz4KTNYFLE2JEBK8TdLtvr8yQM1UAkwEeRXZ4DuPMYkNdfovfNnyHKoco5Q,BYiEbo,60355.996,0.000343,nan,0,0,nan,0,0,site_only,TRUE,0.000244,0.969383452,,,,,
377309957,Ee3zCMkJZ19iiGcJkqDVkPwaQsiDcQUtMGusJ18PSbD65bhsteXoPsuoz4FHRrT1LFKaECGDCSo1XiDfxH5o28S,5t2FgV,0.988,34199203,2apXYwyXFni8JT916WhBiRMaZSoBBSx2jY9p3oNcH3Gn6rT7t6os3Uraq3xoMu3qqniU9QmGuMXvzUCMhdhwHX57,5t2FgV,34199203,1.092,nan,0,0,nan,0,0,site_only,TRUE,0.104,0,,,,,
377310417,2LSo2mTFWq7MWrdHkTiFmNvorXj1cmu2z5ixwGAoa6M46JeM8jkb3DZiVRvJ9dxdRvqCGoAHzZADQppvHgnh3Eed,BYiEbo,483690.13,0.000387,5DGpeHtedPcH9wM7rDVJzXAXHSTV15v6BNXtHebk6GLEd1ou3Tw6xd7a762nR5k9QLKviDurKb8nKgppQoV7M8Jo,BYiEbo,9.90E-05,6285630.3,nan,0,0,nan,0,0,site_only,TRUE,5801940.17,0.744186047,,,,,
